$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 37797.751,   15.32
 37797.792,   15.31
 37797.835,   15.23
 37797.877,   15.37
 37797.917,   15.44
 37797.959,   15.66
 37798.002,   15.83
 37798.042,   15.86
 37798.084,   15.86
 37798.126,   15.69
 37798.167,   15.58
 37798.209,   15.47
 37798.252,   15.45
 37798.292,   15.44
 37798.334,   15.44
 37798.376,   15.41
 37798.418,   15.41
 37798.460,   15.46
 37798.502,   15.50
 37798.543,   15.51
 37798.584,   15.72
 37798.627,   15.65
 37798.667,   15.78
 37798.709,   15.85
 37798.752,   15.96
 37798.793,   16.08
 37798.835,   16.08
 37798.875,   16.06
 37798.918,   15.73
 37798.960,   15.70
 37799.002,   15.78
 37799.042,   15.81
 37799.085,   15.84
 37799.126,   15.76
 37799.167,   15.70
 37799.209,   15.67
 37799.253,   15.72
 37799.293,   15.83
 37799.335,   15.85
 37799.376,   15.83
 37799.419,   15.79
 37799.460,   15.73
 37799.503,   15.78
 37799.542,   15.83
 37799.584,   15.83
 37799.625,   15.93
 37799.668,   15.88
 37799.710,   15.85
 37799.751,   15.91
 37799.792,   15.80
 37799.835,   15.77
 37799.875,   15.86
 37799.917,   15.92
 37799.959,   15.95
 37800.002,   16.00
 37800.042,   15.98
 37800.084,   15.90
 37800.127,   15.87
 37800.168,   15.67
 37800.209,   15.62
 37800.252,   15.63
 37800.292,   15.67
 37800.334,   15.68
 37800.375,   15.68
 37800.420,   15.65
 37800.459,   15.65
 37800.506,   15.70
 37800.546,   15.77
 37800.584,   15.81
 37800.626,   15.84
 37800.670,   15.82
 37800.710,   15.73
 37800.751,   15.84
 37800.792,   15.85
 37800.835,   15.95
 37800.878,   16.09
 37800.919,   16.11
 37800.962,   16.17
 37801.006,   16.21
 37801.046,   16.01
 37801.085,   15.96
 37801.125,   16.08
 37801.170,   16.16
 37801.210,   16.17
 37801.255,   16.10
 37801.294,   16.13
 37801.336,   16.09
 37801.380,   16.12
 37801.418,   16.23
 37801.459,   16.26
 37801.504,   16.25
 37801.546,   16.26
 37801.587,   16.23
 37801.625,   16.25
 37801.668,   16.25
 37801.710,   16.16
 37801.754,   16.17
 37801.796,   16.15
 37801.836,   16.13
 37801.876,   16.17
 37801.920,   16.18
 37801.959,   16.23
 37802.005,   16.26
 37802.042,   16.28
 37802.085,   16.26
 37802.130,   16.27
 37802.170,   16.31
 37802.210,   16.22
 37802.256,   16.41
 37802.295,   16.42
 37802.336,   16.37
 37802.378,   16.38
 37802.420,   16.43
 37802.460,   16.44
 37802.505,   16.50
 37802.543,   16.55
 37802.584,   16.55
 37802.628,   16.72
 37802.668,   16.69
 37802.708,   16.63
 37802.750,   16.64
 37802.793,   16.54
 37802.835,   16.55
 37802.875,   16.59
 37802.919,   16.68
 37802.959,   16.74
 37803.005,   16.71
 37803.045,   16.73
 37803.084,   16.77
 37803.126,   16.77
 37803.168,   16.74
 37803.210,   16.92
 37803.255,   16.97
 37803.294,   16.95
 37803.338,   16.92
 37803.376,   16.92
 37803.417,   16.93
 37803.460,   16.95
 37803.504,   16.94
 37803.543,   16.96
 37803.584,   16.97
 37803.627,   17.00
 37803.668,   17.04
 37803.710,   17.07
 37803.753,   17.12
 37803.792,   17.14
 37803.834,   16.97
 37803.875,   17.06
 37803.917,   17.02
 37803.959,   17.10
 37804.003,   17.19
 37804.044,   17.14
 37804.084,   17.17
 37804.129,   17.26
 37804.170,   17.24
 37804.209,   17.09
 37804.254,   17.06
 37804.294,   17.11
 37804.336,   17.11
 37804.375,   17.15
 37804.418,   17.22
 37804.460,   17.25
 37804.503,   17.31
 37804.546,   17.28
 37804.586,   17.30
 37804.628,   17.25
 37804.669,   17.28
 37804.708,   17.28
 37804.751,   17.29
 37804.792,   17.29
 37804.834,   17.32
 37804.878,   17.39
 37804.919,   17.37
 37804.960,   17.39
 37805.004,   17.48
 37805.044,   17.45
 37805.085,   17.38
 37805.127,   17.38
 37805.169,   17.41
 37805.210,   17.34
 37805.254,   17.30
 37805.294,   17.30
 37805.334,   17.35
 37805.378,   17.43
 37805.419,   17.43
 37805.460,   17.55
 37805.504,   17.60
 37805.543,   17.56
 37805.585,   17.60
 37805.627,   17.57
 37805.670,   17.44
 37805.710,   17.27
 37805.751,   17.27
 37805.793,   17.55
 37805.835,   17.58
 37805.876,   17.64
 37805.918,   17.72
 37805.960,   17.73
 37806.004,   17.48
 37806.045,   17.47
 37806.084,   17.51
 37806.128,   17.42
 37806.169,   17.37
 37806.210,   17.25
 37806.253,   17.43
 37806.294,   17.49
 37806.335,   17.63
 37806.377,   17.78
 37806.418,   17.87
 37806.459,   17.93
 37806.503,   17.77
 37806.545,   17.68
 37806.587,   17.61
 37806.626,   17.67
 37806.669,   17.71
 37806.708,   17.42
 37806.751,   17.16
 37806.792,   17.11
 37806.834,   16.96
 37806.876,   17.42
 37806.919,   17.65
 37806.960,   17.91
 37807.003,   18.18
 37807.044,   18.09
 37807.086,   17.69
 37807.128,   17.42
 37807.168,   17.38
 37807.210,   17.40
 37807.253,   17.45
 37807.293,   17.37
 37807.334,   17.38
 37807.376,   17.42
 37807.417,   17.60
 37807.460,   17.70
 37807.503,   17.75
 37807.542,   17.75
 37807.586,   17.77
 37807.626,   17.76
 37807.667,   17.76
 37807.709,   17.56
 37807.753,   17.47
 37807.794,   17.43
 37807.835,   17.48
 37807.878,   17.47
 37807.917,   17.68
 37807.961,   17.79
 37808.005,   17.92
 37808.045,   17.96
 37808.085,   17.90
 37808.127,   17.83
 37808.167,   17.79
 37808.209,   17.65
 37808.253,   17.54
 37808.293,   17.54
 37808.334,   17.50
 37808.379,   17.64
 37808.419,   17.72
 37808.460,   17.75
 37808.504,   17.82
 37808.543,   17.87
 37808.584,   17.63
 37808.628,   17.63
 37808.669,   17.83
 37808.710,   17.79
 37808.754,   17.72
 37808.792,   17.67
 37808.837,   17.78
 37808.877,   17.83
 37808.918,   17.88
 37808.962,   17.97
 37809.005,   18.21
 37809.045,   18.22
 37809.084,   18.22
 37809.127,   17.96
 37809.169,   18.13
 37809.210,   18.13
 37809.254,   18.06
 37809.295,   17.98
 37809.335,   17.99
 37809.378,   18.01
 37809.420,   18.12
 37809.460,   18.19
 37809.504,   18.23
 37809.546,   18.31
 37809.584,   18.33
 37809.629,   18.26
 37809.669,   18.17
 37809.710,   18.07
 37809.751,   17.94
 37809.792,   17.80
 37809.835,   17.89
 37809.878,   18.04
 37809.918,   18.25
 37809.962,   18.65
 37810.004,   18.58
 37810.044,   18.61
 37810.084,   18.45
 37810.128,   18.31
 37810.167,   18.13
 37810.210,   18.22
 37810.255,   18.18
 37810.295,   18.12
 37810.338,   18.25
 37810.379,   18.28
 37810.417,   18.30
 37810.460,   18.39
 37810.505,   18.43
 37810.544,   18.48
 37810.585,   18.52
 37810.625,   18.49
 37810.667,   18.26
 37810.710,   18.12
 37810.751,   18.10
 37810.794,   18.19
 37810.834,   18.24
 37810.875,   18.37
 37810.919,   18.56
 37810.961,   18.66
 37811.005,   18.74
 37811.045,   18.77
 37811.085,   18.47
 37811.127,   18.44
 37811.170,   18.50
 37811.210,   18.47
 37811.254,   18.40
 37811.294,   18.31
 37811.335,   18.27
 37811.379,   18.26
 37811.420,   18.50
 37811.459,   18.53
 37811.506,   18.61
 37811.543,   18.60
 37811.585,   18.65
 37811.629,   18.67
 37811.668,   18.68
 37811.709,   18.64
 37811.752,   18.62
 37811.794,   18.67
 37811.834,   18.62
 37811.876,   18.89
 37811.918,   18.97
 37811.960,   19.08
 37812.004,   19.13
 37812.044,   19.11
 37812.084,   19.11
 37812.128,   19.13
 37812.169,   19.10
 37812.210,   19.07
 37812.254,   19.07
 37812.293,   18.79
 37812.335,   18.75
 37812.378,   18.70
 37812.417,   18.68
 37812.459,   18.67
 37812.504,   18.97
 37812.544,   18.99
 37812.586,   18.97
 37812.627,   18.93
 37812.668,   18.94
 37812.710,   18.98
 37812.751,   19.02
 37812.794,   19.07
 37812.834,   19.13
 37812.877,   19.16
 37812.917,   19.16
 37812.960,   19.16
 37813.003,   19.19
 37813.043,   19.23
 37813.086,   19.22
 37813.127,   19.15
 37813.167,   19.06
 37813.210,   19.00
 37813.253,   19.04
 37813.293,   18.90
 37813.334,   18.96
 37813.375,   18.99
 37813.417,   19.01
 37813.460,   19.03
 37813.503,   19.00
 37813.544,   19.00
 37813.587,   19.04
 37813.625,   18.97
 37813.667,   18.89
 37813.710,   18.82
 37813.752,   18.88
 37813.793,   18.92
 37813.835,   19.06
 37813.878,   19.15
 37813.918,   19.24
 37813.960,   19.06
 37814.003,   19.02
 37814.043,   19.06
