$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37439.513,   12.20
 37439.556,   12.20
 37439.599,   12.20
 37439.642,   12.20
 37439.686,   12.20
 37439.728,   12.20
 37439.772,   12.20
 37439.814,   12.19
 37439.857,   12.19
 37439.901,   12.19
 37439.944,   12.20
 37439.987,   12.20
 37440.030,   12.20
 37440.073,   12.20
 37440.116,   12.20
 37440.159,   12.20
 37440.202,   12.20
 37440.245,   12.20
 37440.287,   12.19
 37440.330,   12.19
 37440.374,   12.19
 37440.416,   12.19
 37440.459,   12.19
 37440.502,   12.19
 37440.545,   12.19
 37440.589,   12.20
 37440.631,   12.21
 37440.674,   12.21
 37440.718,   12.22
 37440.760,   12.22
 37440.803,   12.23
 37440.847,   12.24
 37440.890,   12.25
 37440.932,   12.26
 37440.976,   12.27
 37441.018,   12.28
 37441.062,   12.29
 37441.105,   12.29
 37441.148,   12.29
 37441.190,   12.29
 37441.234,   12.28
 37441.277,   12.28
 37441.319,   12.27
 37441.362,   12.27
 37441.406,   12.27
 37441.449,   12.26
 37441.492,   12.26
 37441.535,   12.26
 37441.577,   12.27
 37441.620,   12.27
 37441.663,   12.27
 37441.707,   12.28
 37441.750,   12.28
 37441.793,   12.28
 37441.836,   12.29
 37441.878,   12.29
 37441.921,   12.29
 37441.965,   12.29
 37442.008,   12.29
 37442.051,   12.29
 37442.094,   12.29
 37442.136,   12.29
 37442.179,   12.29
 37442.222,   12.29
 37442.266,   12.29
 37442.309,   12.28
 37442.351,   12.28
 37442.394,   12.28
 37442.438,   12.28
 37442.481,   12.28
 37442.524,   12.28
 37442.566,   12.28
 37442.609,   12.28
 37442.653,   12.28
 37442.696,   12.28
 37442.740,   12.28
 37442.782,   12.29
 37442.825,   12.29
 37442.868,   12.29
 37442.910,   12.29
 37442.954,   12.29
 37442.997,   12.29
 37443.039,   12.29
 37443.083,   12.29
 37443.125,   12.29
 37443.169,   12.29
 37443.212,   12.28
 37443.255,   12.28
 37443.297,   12.28
 37443.340,   12.28
 37443.384,   12.29
 37443.427,   12.29
 37443.469,   12.29
