,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/13/2020 17:00,36172.71,15,-2.53,1.34,1.17,3.31,4
1/13/2020 18:00,36172.76,13.89,-2.22,4.47,1.17,3.32,3
1/13/2020 19:00,36172.8,12.22,-2.15,5.36,0.93,3.34,4
1/13/2020 20:00,36172.84,12.22,-1.79,5.36,1.55,3.35,3
1/13/2020 21:00,36172.88,8.89,-4.1,1.34,5.53,3.36,4
1/13/2020 22:00,36172.92,9.44,-1.7,2.68,0.94,3.38,4
1/13/2020 23:00,36172.97,7.22,-1.06,3.58,1.01,3.54,4
1/14/2020 0:00,36173,7.78,-2.37,2.68,1.45,3.4,4
1/14/2020 1:00,36173.04,8.89,-1.92,4.02,1.33,3.42,4
1/14/2020 2:00,36173.08,8.89,-2.21,4.02,1.38,3.43,4
1/14/2020 3:00,36173.13,8.89,-3.13,3.13,1.57,3.44,4
1/14/2020 4:00,36173.17,7.78,-4.14,3.58,1.08,3.46,4
1/14/2020 5:00,36173.21,8.33,-3.02,3.13,1.17,3.47,4
1/14/2020 6:00,36173.25,6.67,-2.86,3.13,1.08,3.48,4
1/14/2020 7:00,36173.29,7.78,-3.53,1.34,0.82,3.5,41
1/14/2020 8:00,36173.34,11.11,-0.48,1.34,0.44,3.51,194
1/14/2020 9:00,36173.38,13.33,0.26,0.89,0.86,3.52,344
1/14/2020 10:00,36173.42,19.44,3.52,1.34,3.09,3.54,453
1/14/2020 11:00,36173.46,20,1.84,0.45,3.96,3.55,517
1/14/2020 12:00,36173.5,21.11,0.81,0.45,1.75,3.56,496
1/14/2020 13:00,36173.55,20,-0.68,0.89,4.8,6.22,366
1/14/2020 14:00,36173.59,18.89,-2.76,0.45,3.98,5.48,313
1/14/2020 15:00,36173.63,20.56,-1.35,0.45,5.57,5.6,200
1/14/2020 16:00,36173.67,16.11,-3.49,0.45,4.12,5.71,62
1/14/2020 17:00,36173.71,12.22,-3.7,0.45,5.46,5.83,4
1/14/2020 18:00,36173.76,11.11,-2.09,1.34,0.47,5.95,4
1/14/2020 19:00,36173.8,10.56,-2.59,3.13,1.31,6.07,4
1/14/2020 20:00,36173.84,10,-1.49,2.24,1.31,6.19,4
1/14/2020 21:00,36173.88,8.89,-1.92,4.02,1.05,6.3,4
1/14/2020 22:00,36173.92,8.89,-1.63,3.58,1.22,6.42,4
1/14/2020 23:00,36173.97,8.33,-2.72,2.68,1.13,3.39,4
1/15/2020 0:00,36174,7.78,-2.37,3.58,1.4,6.66,4
1/15/2020 1:00,36174.04,8.89,-2.21,3.58,1.41,6.77,4
1/15/2020 2:00,36174.08,7.78,-3.23,3.13,1.4,6.89,4
1/15/2020 3:00,36174.13,8.33,-2.72,3.58,1.61,7.01,4
1/15/2020 4:00,36174.17,7.78,-3.83,3.13,1.31,7.13,4
1/15/2020 5:00,36174.21,8.89,-4.1,1.79,1.27,7.25,4
1/15/2020 6:00,36174.25,8.33,-3.63,2.68,1.17,7.36,4
1/15/2020 7:00,36174.29,7.22,-4.96,3.58,1.36,7.48,30
1/15/2020 8:00,36174.34,9.44,-3.6,3.13,1.24,7.6,134
1/15/2020 9:00,36174.38,10,-4.51,2.24,1.08,7.72,127
1/15/2020 10:00,36174.42,20,1.84,0.45,4.4,7.84,443
1/15/2020 11:00,36174.46,16.11,-1.12,0.45,3.96,7.95,331
1/15/2020 12:00,36174.5,17.78,-2.59,0.89,3.32,8.07,313
1/15/2020 13:00,36174.55,18.89,-3.97,0.89,3.94,5.82,383
1/15/2020 14:00,36174.59,18.33,-5.76,2.24,3.63,6.52,283
1/15/2020 15:00,36174.63,19.44,-4.83,0.89,3.96,6.4,191
1/15/2020 16:00,36174.67,15.56,-6.78,0.89,3.61,6.28,66
1/15/2020 17:00,36174.71,12.22,-4.53,1.34,0.59,6.16,5
1/15/2020 18:00,36174.76,10.56,-5.99,1.34,5.22,6.04,3
1/15/2020 19:00,36174.8,9.44,-2.31,2.68,5.34,5.93,4
1/15/2020 20:00,36174.84,8.33,-1.05,1.79,4.24,5.81,4
1/15/2020 21:00,36174.88,6.11,-1.62,1.34,4.31,5.69,4
1/15/2020 22:00,36174.92,4.44,-2.07,1.34,4.5,5.57,4
1/15/2020 23:00,36174.97,7.78,-2.65,4.02,1.27,6.54,4
1/16/2020 0:00,36175,4.44,-2.96,0.89,3.89,5.33,4
1/16/2020 1:00,36175.04,3.89,-2.81,0.89,4.69,5.21,4
1/16/2020 2:00,36175.08,4.44,-2.28,1.34,5.06,5.1,4
1/16/2020 3:00,36175.13,2.78,-3.65,0.45,3.77,4.98,4
