,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/11/2020 6:00,36170.25,5.56,5.41,4.02,0.94,9.61,0
1/11/2020 7:00,36170.29,6.11,6.11,3.13,1.2,9.67,20
1/11/2020 8:00,36170.34,6.11,6.11,1.79,0.93,9.74,89
1/11/2020 9:00,36170.38,7.22,6.92,0.89,0.87,9.8,126
1/11/2020 10:00,36170.42,8.89,7.32,0.89,1.55,9.87,216
1/11/2020 11:00,36170.46,9.44,7.19,0.45,4.45,9.93,172
1/11/2020 12:00,36170.5,10.56,8.46,0.45,0.91,10,140
1/11/2020 13:00,36170.55,11.11,8.66,0.45,4.19,10,148
1/11/2020 14:00,36170.59,10.56,8.11,0.45,6.27,9.4,163
1/11/2020 15:00,36170.63,10,7.57,0.45,5.97,9.43,98
1/11/2020 16:00,36170.67,8.33,6.61,0.89,4.08,9.45,16
1/11/2020 17:00,36170.71,8.89,7.48,0.45,5.15,9.48,4
1/11/2020 18:00,36170.76,8.89,7.64,0.45,4.83,9.51,4
1/11/2020 19:00,36170.8,7.78,7.17,0.45,4.26,9.53,4
1/11/2020 20:00,36170.84,7.78,7.02,0.45,2.06,9.56,4
1/11/2020 21:00,36170.88,6.67,6.07,0.89,1.66,9.59,4
1/11/2020 22:00,36170.92,6.11,5.66,0.45,4.03,9.61,4
1/11/2020 23:00,36170.97,9.44,8.03,1.79,1.34,9.14,1
1/12/2020 0:00,36171,7.22,7.07,0.45,4.17,9.67,3
1/12/2020 1:00,36171.04,7.78,7.33,1.34,5.97,9.69,3
1/12/2020 2:00,36171.08,8.33,7.73,2.24,1.2,9.72,3
1/12/2020 3:00,36171.13,7.22,6.62,0.45,4.38,9.74,3
1/12/2020 4:00,36171.17,7.22,6.46,0.89,0.51,9.77,3
1/12/2020 5:00,36171.21,7.22,6.62,0.45,1.52,9.8,3
1/12/2020 6:00,36171.25,6.67,6.22,0.45,1.95,9.82,3
1/12/2020 7:00,36171.29,6.67,6.22,0.45,3.54,9.85,15
1/12/2020 8:00,36171.34,8.33,7.57,0,0.7,9.88,67
1/12/2020 9:00,36171.38,10.56,8.8,0,4.57,9.9,157
1/12/2020 10:00,36171.42,12.22,8.84,0.89,4.01,9.93,304
1/12/2020 11:00,36171.46,12.22,7.88,0.89,3.96,9.96,348
1/12/2020 12:00,36171.5,11.67,6.74,0.45,4.83,9.98,189
1/12/2020 13:00,36171.55,13.89,8.67,0.45,4.82,7.94,286
1/12/2020 14:00,36171.59,11.11,6,0.89,3.61,9.69,150
1/12/2020 15:00,36171.63,10.56,5.87,0.45,5.08,9.65,74
1/12/2020 16:00,36171.67,10,5.92,0.45,3.86,9.6,22
1/12/2020 17:00,36171.71,10.56,7.03,0.45,4.52,9.56,4
1/12/2020 18:00,36171.76,10.56,7.03,0.45,4.15,9.51,4
1/12/2020 19:00,36171.8,9.44,6.49,0.45,4.07,9.47,4
1/12/2020 20:00,36171.84,8.89,6.65,0.45,4.26,9.42,4
1/12/2020 21:00,36171.88,8.89,6.65,0.45,3.91,9.38,4
1/12/2020 22:00,36171.92,8.89,6.65,0,4.45,9.33,4
1/12/2020 23:00,36171.97,6.11,5.81,0.89,4.08,9.64,3
1/13/2020 0:00,36172,9.44,7.7,0.45,4.19,9.24,4
1/13/2020 1:00,36172.04,8.33,6.93,0.89,4.08,9.2,4
1/13/2020 2:00,36172.08,8.89,7.64,0.45,3.77,9.15,4
1/13/2020 3:00,36172.13,7.78,6.54,0.45,4.42,9.11,4
1/13/2020 4:00,36172.17,7.78,6.54,0.45,4.05,9.07,4
1/13/2020 5:00,36172.21,8.33,7.25,0.89,4.19,9.02,4
1/13/2020 6:00,36172.25,8.33,7.41,0,5.9,8.98,4
1/13/2020 7:00,36172.29,7.78,6.86,0.45,4.35,8.93,13
1/13/2020 8:00,36172.34,9.44,7.7,0.45,6.27,8.89,58
1/13/2020 9:00,36172.38,10,6.49,1.34,0.86,8.84,129
1/13/2020 10:00,36172.42,11.67,7.34,0.89,1.1,8.8,159
1/13/2020 11:00,36172.46,11.67,6.53,0.45,3.14,8.75,117
1/13/2020 12:00,36172.5,12.78,7.18,1.34,3.6,8.71,273
1/13/2020 13:00,36172.55,15,7.96,1.34,3.28,1.86,476
1/13/2020 14:00,36172.59,15,7.48,1.34,4.45,3.14,362
1/13/2020 15:00,36172.63,13.89,6.9,0.45,3.23,3.19,209
1/13/2020 16:00,36172.67,10.56,5.87,0.45,3.79,3.25,58
1/13/2020 17:00,36172.71,8.89,6.13,0.45,4.12,3.3,5
1/13/2020 18:00,36172.76,7.78,5.72,1.34,5.97,3.35,4
1/13/2020 19:00,36172.8,7.78,5.56,1.34,0.44,3.4,4
1/13/2020 20:00,36172.84,7.78,5.89,2.24,1.1,3.45,4
1/13/2020 21:00,36172.88,7.22,5.83,2.68,1.38,3.5,4
1/13/2020 22:00,36172.92,6.11,4.73,2.68,1.08,3.55,3
1/13/2020 23:00,36172.97,9.44,7.53,0.45,3.75,9.29,4
1/14/2020 0:00,36173,6.67,5.44,3.58,1.22,3.65,2
1/14/2020 1:00,36173.04,5.56,4.34,3.58,1.01,3.7,3
1/14/2020 2:00,36173.08,6.11,5.05,3.13,1.19,3.75,3
1/14/2020 3:00,36173.13,6.11,4.89,2.68,1.06,3.8,4
1/14/2020 4:00,36173.17,6.11,4.57,2.24,1.33,3.85,4
1/14/2020 5:00,36173.21,4.44,3.4,3.13,1.34,3.9,4
1/14/2020 6:00,36173.25,4.44,3.4,1.34,1.13,3.95,4
1/14/2020 7:00,36173.29,5,3.95,2.68,1.4,4,43
1/14/2020 8:00,36173.34,7.78,5.21,0.45,2.37,4.05,186
1/14/2020 9:00,36173.38,12.22,9.21,0.45,4.15,4.1,340
1/14/2020 10:00,36173.42,12.22,8.46,0.89,0.45,4.15,470
1/14/2020 11:00,36173.46,14.44,8.12,0.89,3.94,4.2,542
1/14/2020 12:00,36173.5,18.89,13.26,1.34,6.02,4.25,477
1/14/2020 13:00,36173.55,20,12.7,1.34,5.55,0,509
1/14/2020 14:00,36173.59,17.78,10.59,0.45,4.73,5.26,319
1/14/2020 15:00,36173.63,15,8.87,0.89,4.05,5.47,162
1/14/2020 16:00,36173.67,11.67,7.73,0.45,4.76,5.69,44
1/14/2020 17:00,36173.71,11.67,8.3,0.45,4.4,5.9,4
1/14/2020 18:00,36173.76,10,7.91,1.34,4.07,6.12,4
1/14/2020 19:00,36173.8,9.44,8.2,0.45,4.24,6.34,4
1/14/2020 20:00,36173.84,8.89,8.28,3.13,1.27,6.55,4
1/14/2020 21:00,36173.88,8.33,7.57,1.79,3.54,6.77,3
1/14/2020 22:00,36173.92,7.78,7.48,1.34,1.62,6.98,4
1/14/2020 23:00,36173.97,5.56,4.34,3.13,1.1,3.6,3
1/15/2020 0:00,36174,7.78,7.02,1.79,1.48,7.41,3
1/15/2020 1:00,36174.04,6.67,5.44,0.89,0.49,7.63,3
1/15/2020 2:00,36174.08,6.11,5.05,2.68,1.15,7.84,3
1/15/2020 3:00,36174.13,6.11,5.05,0.89,6.27,8.06,4
1/15/2020 4:00,36174.17,5,3.63,2.68,1.36,8.28,3
1/15/2020 5:00,36174.21,5,3.15,3.13,1.29,8.49,3
1/15/2020 6:00,36174.25,5.56,4.18,1.34,0.75,8.71,4
1/15/2020 7:00,36174.29,2.22,0.89,1.34,4.01,8.92,30
1/15/2020 8:00,36174.34,2.22,1.93,1.34,3.93,9.14,150
1/15/2020 9:00,36174.38,4.44,4.3,1.79,3.54,9.35,239
1/15/2020 10:00,36174.42,5.56,5.26,0.45,3.65,9.57,250
1/15/2020 11:00,36174.46,6.67,6.37,0.45,4.97,9.78,187
1/15/2020 12:00,36174.5,7.22,6.77,0.45,3.94,10,148
1/15/2020 13:00,36174.55,6.67,6.37,0.45,4.43,10,112
1/15/2020 14:00,36174.59,6.11,5.81,0.45,3.8,10,74
1/15/2020 15:00,36174.63,6.11,5.96,0.45,0.73,10,36
1/15/2020 16:00,36174.67,6.67,6.52,0,4.94,10,12
1/15/2020 17:00,36174.71,6.67,6.52,0,5.39,10,3
1/15/2020 18:00,36174.76,6.67,6.52,0.89,1.78,10,2
1/15/2020 19:00,36174.8,5.56,5.41,0.45,1.43,10,2
1/15/2020 20:00,36174.84,6.11,5.96,0.89,3.93,10,1
1/15/2020 21:00,36174.88,6.11,5.96,1.79,1.34,10,0
1/15/2020 22:00,36174.92,5.56,5.41,0.89,3.47,10,0
1/15/2020 23:00,36174.97,8.33,7.41,1.34,1.03,7.2,3
1/16/2020 0:00,36175,5.56,5.41,0.45,0.51,10,0
1/16/2020 1:00,36175.04,5.56,5.41,0.45,4.33,10,0
1/16/2020 2:00,36175.08,5.56,5.41,0.45,4,10,0
1/16/2020 3:00,36175.13,5.56,5.41,0.45,3.67,10,0
1/16/2020 4:00,36175.17,5.56,5.41,0,3.49,10,0
1/16/2020 5:00,36175.21,5.56,5.41,0.45,4.28,10,0
1/16/2020 6:00,36175.25,5.56,5.41,0.45,4.14,10,0
1/16/2020 7:00,36175.29,5.56,5.41,0.45,3.93,10,0
